species,item,ability,type1,type2,move1,move2,move3,move4,won,strategy
Kingdra,Life Orb,Swift Swim,Water,Dragon,Waterfall,Rain Dance,Dragon Dance,Outrage,true,best
Latios,Choice Specs,Levitate,Dragon,Psychic,Trick,Psyshock,Hidden Power Fire,Draco Meteor,true,best
Shedinja,Focus Sash,Wonder Guard,Bug,Ghost,Swords Dance,X-Scissor,Will-O-Wisp,Shadow Sneak,true,best
Slurpuff,Sitrus Berry,Unburden,Fairy,,Belly Drum,Play Rough,Drain Punch,Return,true,best
Ampharos,Leftovers,Static,Electric,,Light Screen,Volt Switch,Toxic,Thunderbolt,true,best
Sableye,Sablenite,Prankster,Dark,Ghost,Recover,Calm Mind,Dark Pulse,Will-O-Wisp,true,best
Sawk,Choice Scarf,Sturdy,Fighting,,Ice Punch,Knock Off,Close Combat,Poison Jab,false,random
Venomoth,Black Sludge,Tinted Lens,Bug,Poison,Quiver Dance,Sleep Powder,Sludge Bomb,Bug Buzz,false,random
Pyroar,Life Orb,Unnerve,Fire,Normal,Dark Pulse,Hyper Voice,Fire Blast,Sunny Day,false,random
Stantler,Life Orb,Intimidate,Normal,,Megahorn,Jump Kick,Sucker Punch,Double-Edge,false,random
Gallade,Galladite,Justified,Psychic,Fighting,Knock Off,Close Combat,Swords Dance,Zen Headbutt,false,random
Basculin,Choice Band,Adaptability,Water,,Aqua Jet,Crunch,Zen Headbutt,Waterfall,false,random
Seviper,Focus Sash,Shed Skin,Poison,,Coil,Poison Jab,Earthquake,Sucker Punch,true,best
Cofagrigus,Leftovers,Mummy,Ghost,,Hidden Power Fighting,Pain Split,Toxic Spikes,Shadow Ball,true,best
Golurk,Life Orb,No Guard,Ground,Ghost,Shadow Punch,Earthquake,Rock Polish,Dynamic Punch,true,best
Hawlucha,Sitrus Berry,Unburden,Fighting,Flying,Swords Dance,High Jump Kick,Acrobatics,Roost,true,best
Serperior,Life Orb,Contrary,Grass,,Leaf Storm,Hidden Power Fire,Glare,Dragon Pulse,true,best
Musharna,Leftovers,Synchronize,Psychic,,Psychic,Calm Mind,Heal Bell,Signal Beam,true,best
Conkeldurr,Flame Orb,Guts,Fighting,,Bulk Up,Ice Punch,Drain Punch,Knock Off,false,random
Cresselia,Leftovers,Levitate,Psychic,,Psyshock,Toxic,Moonblast,Substitute,false,random
Giratina,Leftovers,Pressure,Ghost,Dragon,Roar,Will-O-Wisp,Dragon Pulse,Shadow Ball,false,random
Shuckle,Leftovers,Sturdy,Bug,Rock,Stealth Rock,Knock Off,Toxic,Encore,false,random
Rotom-Wash,Choice Scarf,Levitate,Electric,Water,Thunderbolt,Volt Switch,Trick,Hydro Pump,false,random
Meganium,Light Clay,Overgrow,Grass,,Light Screen,Giga Drain,Dragon Tail,Reflect,false,random
Moltres,Leftovers,Flame Body,Fire,Flying,Roost,Will-O-Wisp,Fire Blast,Substitute,true,best
Breloom,Life Orb,Technician,Grass,Fighting,Spore,Rock Tomb,Mach Punch,Bullet Seed,true,best
Quagsire,Leftovers,Water Absorb,Water,Ground,Toxic,Recover,Scald,Earthquake,true,best
Hoopa-Unbound,Choice Scarf,Magician,Psychic,Dark,Zen Headbutt,Focus Blast,Dark Pulse,Trick,true,best
Whimsicott,Leftovers,Prankster,Grass,Fairy,Toxic,Encore,Taunt,Moonblast,true,best
Jolteon,Choice Specs,Volt Absorb,Electric,,Volt Switch,Thunderbolt,Shadow Ball,Signal Beam,true,best
Ampharos,Ampharosite,Static,Electric,,Dragon Pulse,Agility,Focus Blast,Thunderbolt,false,random
Jellicent,Leftovers,Water Absorb,Water,Ghost,Recover,Toxic,Shadow Ball,Scald,false,random
Stunfisk,Leftovers,Static,Ground,Electric,Toxic,Earth Power,Stealth Rock,Discharge,false,random
Flygon,Life Orb,Levitate,Ground,Dragon,Roost,Earthquake,Stone Edge,Outrage,false,random
Chandelure,Leftovers,Flash Fire,Ghost,Fire,Shadow Ball,Substitute,Fire Blast,Calm Mind,false,random
Sunflora,Life Orb,Chlorophyll,Grass,,Giga Drain,Sunny Day,Hidden Power Fire,Earth Power,false,random
Sawsbuck,Life Orb,Sap Sipper,Normal,Grass,Horn Leech,Jump Kick,Return,Substitute,true,random
Mienshao,Life Orb,Regenerator,Fighting,,Knock Off,Swords Dance,High Jump Kick,Stone Edge,true,random
Garchomp,Garchompite,Rough Skin,Dragon,Ground,Outrage,Swords Dance,Earthquake,Stone Edge,true,random
Klinklang,Life Orb,Clear Body,Steel,,Shift Gear,Wild Charge,Gear Grind,Return,true,random
Bronzong,Leftovers,Levitate,Steel,Psychic,Toxic,Stealth Rock,Light Screen,Gyro Ball,true,random
Arceus-Electric,Zap Plate,Multitype,Electric,,Recover,Calm Mind,Earth Power,Judgment,true,random
Darmanitan,Life Orb,Sheer Force,Fire,,U-turn,Rock Slide,Superpower,Flare Blitz,false,best
Diggersby,Life Orb,Huge Power,Normal,Ground,Agility,Return,Earthquake,Wild Charge,false,best
Deoxys-Defense,Leftovers,Pressure,Psychic,,Recover,Spikes,Toxic,Seismic Toss,false,best
Linoone,Sitrus Berry,Quick Feet,Normal,,Belly Drum,Shadow Claw,Extreme Speed,Seed Bomb,false,best
Seaking,Choice Band,Lightning Rod,Water,,Megahorn,Waterfall,Drill Run,Knock Off,false,best
Mantine,Leftovers,Water Absorb,Water,Flying,Rest,Sleep Talk,Air Slash,Scald,false,best
Victreebel,Life Orb,Chlorophyll,Grass,Poison,Weather Ball,Solar Beam,Sunny Day,Growth,true,best
Rotom-Wash,Leftovers,Levitate,Electric,Water,Hydro Pump,Thunderbolt,Will-O-Wisp,Volt Switch,true,best
Raticate,Toxic Orb,Guts,Normal,,Swords Dance,Flame Wheel,Facade,Sucker Punch,true,best
Tornadus,,Prankster,Flying,,Knock Off,Tailwind,Superpower,Acrobatics,true,best
Mr. Mime,Life Orb,Filter,Psychic,Fairy,Psyshock,Nasty Plot,Shadow Ball,Dazzling Gleam,true,best
Mantine,Leftovers,Water Absorb,Water,Flying,Scald,Air Slash,Rest,Sleep Talk,true,best
Tornadus,,Prankster,Flying,,Bulk Up,Rest,Acrobatics,Sleep Talk,false,random
Darkrai,Leftovers,Bad Dreams,Dark,,Sludge Bomb,Substitute,Dark Void,Dark Pulse,false,random
Furfrou-Matron,Chesto Berry,Fur Coat,Normal,,Toxic,Return,U-turn,Rest,false,random
Latias,Latiasite,Levitate,Dragon,Psychic,Surf,Dragon Pulse,Calm Mind,Psyshock,false,random
Hoopa,Choice Scarf,Magician,Psychic,Ghost,Focus Blast,Shadow Ball,Psyshock,Trick,false,random
Wailord,Choice Specs,Water Veil,Water,,Water Spout,Hidden Power Fire,Ice Beam,Hydro Pump,false,random
Slowbro,Slowbronite,Regenerator,Water,Psychic,Slack Off,Calm Mind,Psyshock,Scald,true,best
Terrakion,Life Orb,Justified,Rock,Fighting,Swords Dance,Close Combat,Earthquake,Stone Edge,true,best
Drifblim,Sitrus Berry,Unburden,Ghost,Flying,Will-O-Wisp,Acrobatics,Shadow Ball,Substitute,true,best
Regigigas,Leftovers,Slow Start,Normal,,Confuse Ray,Drain Punch,Substitute,Return,true,best
Thundurus,Life Orb,Defiant,Electric,Flying,Hidden Power Ice,Focus Blast,Thunderbolt,Knock Off,true,best
Castform,Heat Rock,Forecast,Normal,,Weather Ball,Ice Beam,Solar Beam,Sunny Day,true,best
Toxicroak,Life Orb,Dry Skin,Poison,Fighting,Ice Punch,Gunk Shot,Substitute,Drain Punch,false,random
Clefable,Life Orb,Magic Guard,Fairy,,Moonblast,Calm Mind,Soft-Boiled,Fire Blast,false,random
Manectric,Manectite,Lightning Rod,Electric,,Overheat,Thunderbolt,Hidden Power Ice,Volt Switch,false,random
Zygarde,Lum Berry,Aura Break,Dragon,Ground,Outrage,Extreme Speed,Dragon Dance,Earthquake,false,random
Arcanine,Leftovers,Intimidate,Fire,,Toxic,Crunch,Morning Sun,Flare Blitz,false,random
Vivillon-Polar,Leftovers,Compound Eyes,Bug,Flying,Sleep Powder,Hurricane,Quiver Dance,Energy Ball,false,random
Ferrothorn,Rocky Helmet,Iron Barbs,Grass,Steel,Knock Off,Gyro Ball,Stealth Rock,Spikes,true,random
Sceptile,Sceptilite,Overgrow,Grass,,Focus Blast,Earthquake,Giga Drain,Outrage,true,random
