Rank,Pokemon,Deviations,Winrate,Games,Wins
1,Nihilego,7.021526,52.5154,19480,10230
2,Mewtwo,6.46356,52.420486,17827,9345
3,Inteleon,6.3259444,52.332027,18396,9627
4,Blacephalon,6.3247027,52.309578,18748,9807
5,Urshifu,6.255685,52.186234,20469,10682
6,Magearna,6.180083,52.241398,19006,9929
7,Lunala,6.089752,52.212715,18936,9887
8,Espeon,5.959345,52.250557,17529,9159
9,Pheromosa,5.9145055,52.117516,19504,10165
10,HoOh,5.8432417,52.10762,19216,10013
11,Rillaboom,5.83808,52.063145,20018,10422
12,Kyogre,5.794451,52.20024,17339,9051
13,TapuLele,5.7803516,52.130898,18396,9590
14,Nidoqueen,5.6577897,52.07861,18522,9646
15,Xerneas,5.426038,51.949795,19361,10058
16,Scizor,5.3310533,51.954617,18597,9662
17,NecrozmaDuskMane,5.303007,53.412853,6036,3224
18,CalyrexShadow,5.2683635,53.328014,6265,3341
19,ZapdosGalar,5.0883074,51.868027,18549,9621
20,Blastoise,4.9636717,51.827747,18438,9556
21,Salamence,4.9210634,51.837395,17933,9296
22,Azumarill,4.9098105,51.80978,18400,9533
23,ThundurusTherian,4.9016314,51.80105,18517,9592
24,Regieleki,4.864163,51.79515,18355,9507
25,Milotic,4.841089,51.865936,16828,8728
26,Hydreigon,4.826109,51.74598,19101,9884
27,Braviary,4.7516317,51.742126,18598,9623
28,Slurpuff,4.697453,51.57615,22206,11453
29,Kartana,4.6553507,51.687874,19018,9830
30,Mew,4.567864,51.73589,17311,8956
31,Ditto,4.482351,52.247364,9945,5196
32,Zacian,4.46578,52.15369,10749,5606
33,UrshifuRapidStrike,4.405043,51.58792,19239,9925
34,Sawk,4.391985,52.18207,10128,5285
35,KyuremBlack,4.3315887,51.540447,19767,10188
36,Drapion,4.3072824,51.561676,19018,9806
37,Raikou,4.260405,51.594997,17837,9203
38,Groudon,4.249563,51.530403,19276,9933
39,Rhydon,4.2447577,51.38387,23521,12086
40,CalyrexIce,4.2439065,52.68817,6231,3283
41,Meowstic,4.2307973,52.10584,10091,5258
42,Polteageist,4.1589975,51.533443,18390,9477
43,Miltank,4.078776,52.038776,10006,5207
44,GiratinaOrigin,4.039379,52.044685,9757,5078
45,Zamazenta,4.0260777,52.09965,9192,4789
46,Sandaconda,4.0134277,51.451134,19123,9839
47,Galvantula,3.958578,51.424576,19304,9927
48,Dragapult,3.875894,51.411892,18840,9686
49,Obstagoon,3.8656418,51.4124,18727,9628
50,NinetalesAlola,3.8464036,51.385284,19274,9904
51,Aegislash,3.7768695,51.374252,18883,9701
52,Krookodile,3.7326581,51.342266,19333,9926
53,Suicune,3.7302592,51.446445,16627,8554
54,Terrakion,3.6765058,51.21335,22953,11755
55,MoltresGalar,3.6624088,51.32804,19013,9759
56,Virizion,3.6529706,51.206528,22917,11735
57,Pyukumuku,3.6458607,51.846153,9750,5055
58,Zygarde10,3.536664,51.30021,18497,9489
59,Quagsire,3.4793491,51.298916,17938,9202
60,SilvallyDragon,3.4727933,55.025124,1194,657
61,Octillery,3.4597843,51.739838,9886,5115
62,Spiritomb,3.4554932,51.67703,10614,5485
63,Basculin,3.273333,51.658623,9737,5030
64,Kyurem,3.2693362,51.171993,19454,9955
65,Dracovish,3.2531335,51.19987,18377,9409
66,Dracozolt,3.2220964,51.0792,22285,11383
67,Rayquaza,3.1928315,51.161068,18905,9672
68,Buzzwole,3.1831226,51.15665,18934,9686
69,Hawlucha,3.154125,51.067436,21828,11147
70,ZamazentaCrowned,3.0260935,51.562668,9375,4834
71,Rhyperior,2.9780145,51.09759,18404,9404
72,SilvallyGhost,2.9610095,53.271484,2048,1091
73,Dragonite,2.946049,51.09586,18068,9232
74,Zapdos,2.90505,51.076447,18208,9300
75,Comfey,2.8644466,51.046562,18728,9560
76,Turtonator,2.8210948,51.381695,10422,5355
77,Jolteon,2.8203216,51.046604,18154,9267
78,Cinccino,2.8157759,51.40578,10030,5156
79,Haxorus,2.7898948,50.91142,23425,11926
80,SilvallyFairy,2.7653906,53.03468,2076,1101
81,Jynx,2.7620564,51.35265,10424,5353
82,SilvallyGrass,2.7249246,53.94958,1190,642
